00001010,01110000
00001011,00101101
00001100,11000000
00001101,00001011
00001110,00010101
00001111,10101000
00010000,10111110
00010001,00101010
00010010,01110101
00010011,00100100
00010100,11011011
00010101,01101011
00010110,00010000
00010111,10100101
00011000,10110000
00011001,01110111
00011010,01111011
00011011,11001011
00011100,11010101
00011101,00110010
00011110,00011110
00011111,10001010
00100000,00010011
00100001,01111100
00100010,01111110
00100011,10101011
00100100,01010110
00100101,11011001
00100110,00011011
00100111,11101010
00101000,10101001
00101001,11100110
00101010,11011000
00101011,11000101
00101100,00101100
00101101,10100011
00101110,01111101
00101111,01000100
00110000,00010110
00110001,10000110
00110010,00011101
00110011,11001000
00110100,01010011
00110101,11000011
00110110,10111000
00110111,01001101
00111000,00011000
00111001,11111111
00111010,11110011
00111011,01100011
00111100,10111101
00111101,10011010
00111110,10110110
00111111,00100110
01000000,00101111
01000001,11100100
01000010,01000010
01000011,10010111
01000100,01101110
01000101,01100101
01000110,00000111
01000111,11010010
01001000,10010101
01001001,11011010
01001010,01000000
01001011,01111001
01001100,11110000
01001101,10111111
01001110,11000001
01001111,11011100
01010000,00101110
01010001,10111010
01010010,10100001
01010011,00010100
01010100,01101111
01010101,11011111
01010110,00100000
01010111,01110001
01011000,10000000
01011001,11100011
01011010,11001111
01011011,01111111
01011100,00000001
01011101,10100110
01011110,10001110
01011111,00011010
01100000,10000111
01100001,00001000
01100010,11101110
01100011,00011111
01100100,11000010
01100101,10001101
01100110,10101111
01100111,01111010
01101000,11111101
01101001,01110010
01101010,10101100
01101011,00010001
01101100,01011000
01101101,00110111
01101110,00101001
01101111,01110100
01110000,10000010
01110001,00010010
01110010,01001001
01110011,10111100
01110100,11000111
01110101,01010111
01110110,11001100
01110111,00011001
01111000,01101100
01111001,01001011
01111010,01100111
01111011,11110111
01111100,11101001
01111101,00001010
01111110,00100010
01111111,10110010
10000000,11011101
10000001,01010010
10000010,01010000
10000011,11100101
10000100,01111000
10000101,00010111
10000110,00110101
10000111,01100100
10001000,10100111
10001001,00101000
10001010,11110110
10001011,10001011
10001100,11100010
10001101,10101101
10001110,10110011
10001111,11001010
10010000,00111000
10010001,01001000
10010010,11010011
10010011,00000110
10010100,10011101
10010101,11001101
10010110,10010110
10010111,01000011
10011000,00110110
10011001,11010001
10011010,00111101
10011011,01101101
10011100,01110011
10011101,10110100
10011110,10011000
10011111,11101000
10100000,10110101
10100001,11111010
10100010,11111000
10100011,00001101
10100100,11010000
10100101,10011111
10100110,01011101
10100111,10001000
10101000,00001111
10101001,11000100
10101010,01011110
10101011,00100011
10101100,01001110
10101101,01000101
10101110,00111011
10101111,01100110
10110000,10010000
10110001,10100100
10110010,01011011
10110011,10101010
10110100,11110101
10110101,00100101
10110110,00111110
10110111,11101011
10111000,10011110
10111001,10111001
10111010,01010101
10111011,10000101
10111100,11111011
10111101,00011100
10111110,00110000
10111111,00000100
11000000,10001001
11000001,11000110
11000010,01100000
11000011,00110001
11000100,00001100
11000101,10000011
11000110,11100001
11000111,01010100
11001000,00110011
11001001,01011100
11001010,01100010
11001011,00111111
11001100,01110110
11001101,11111001
11001110,00100111
11001111,01011010
11010000,01001100
11010001,00111100
11010010,01000111
11010011,10010010
11010100,11001001
11010101,10011001
11010110,00000010
11010111,11010111
11011000,10100010
11011001,00000101
11011010,01101001
11011011,00111001
11011100,11100111
11011101,10000100
11011110,11101100
11011111,10011100
11100000,01100001
11100001,01101010
11100010,10001100
11100011,01011001
11100100,11100000
11100101,00101011
11100110,00001001
11100111,11111100
11101000,10111011
11101001,11110100
11101010,11001110
11101011,10110111
11101100,11011110
11101101,10010001
11101110,10001111
11101111,11110010
11110000,10100000
11110001,10010100
11110010,11101111
11110011,00111010
11110100,00100001
11110101,11110001
11110110,10101110
11110111,01011111
11111000,00001110
11111001,11101101
11111010,10000001
11111011,01010001
11111100,01001111
11111101,01101000
11111110,00000000
